id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,Unnamed: 12,winner
277,IPL-2011,Mumbai,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,21,0,R Sharma,,Mumbai Indians
282,IPL-2011,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,32,0,AT Rayudu,,Mumbai Indians
299,IPL-2011,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,0,10,SR Watson,,Rajasthan Royals
305,IPL-2011,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,MM Patel,,Mumbai Indians
319,IPL-2012,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,27,0,KA Pollard,,Mumbai Indians
327,IPL-2012,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,S Nadeem,,Delhi Daredevils
336,IPL-2012,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,0,6,SE Marsh,,Kings XI Punjab
346,IPL-2012,Mumbai,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,DW Steyn,,Mumbai Indians
355,IPL-2012,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,2,DR Smith,,Mumbai Indians
360,IPL-2012,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,9,CH Gayle,,Royal Challengers Bangalore
390,IPL-2013,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,44,0,KD Karthik,,Mumbai Indians
395,IPL-2013,Mumbai,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,41,0,RG Sharma,,Mumbai Indians
417,IPL-2013,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,58,0,DR Smith,,Mumbai Indians
421,IPL-2013,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,4,0,RG Sharma,,Mumbai Indians
430,IPL-2013,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,60,0,MG Johnson,,Mumbai Indians
434,IPL-2013,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,65,0,SR Tendulkar,,Mumbai Indians
444,IPL-2013,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,0,7,KA Pollard,,Mumbai Indians
447,IPL-2013,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,14,0,AP Tare,,Mumbai Indians
479,IPL-2014,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,0,5,CJ Anderson,,Mumbai Indians
484,IPL-2014,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,19,0,RG Sharma,,Mumbai Indians
508,IPL-2014,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,15,0,MEK Hussey,,Mumbai Indians
513,IPL-2014,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,CJ Anderson,,Mumbai Indians
516,IPL-2014,Mumbai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,24,0,V Sehwag,,Kings XI Punjab
524,IPL-2015,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,18,0,GJ Bailey,,Kings XI Punjab
541,IPL-2015,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,20,0,SL Malinga,,Mumbai Indians
549,IPL-2015,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,8,0,AT Rayudu,,Mumbai Indians
553,IPL-2015,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,14,0,AM Rahane,,Rajasthan Royals
556,IPL-2015,Mumbai,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,0,5,Harbhajan Singh,,Mumbai Indians
558,IPL-2015,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,7,0,EJG Morgan,,Sunrisers Hyderabad
562,IPL-2015,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,39,0,AB de Villiers,,Royal Challengers Bangalore
567,IPL-2015,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,5,0,HH Pandya,,Mumbai Indians
570,IPL-2015,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,9,0,SR Watson,,Rajasthan Royals
573,IPL-2015,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,25,0,KA Pollard,,Mumbai Indians
590,IPL-2016,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,RG Sharma,,Mumbai Indians
600,IPL-2016,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,RG Sharma,,Mumbai Indians
7902,IPL-2018,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,JJ Roy,,Delhi Daredevils
7907,IPL-2018,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,46,0,RG Sharma,,Mumbai Indians
7916,IPL-2018,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,31,0,Rashid Khan,,Sunrisers Hyderabad
7930,IPL-2018,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,13,0,HH Pandya,,Mumbai Indians
7940,IPL-2018,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,JC Buttler,,Rajasthan Royals
7943,IPL-2018,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,3,0,JJ Bumrah,,Mumbai Indians
11151,IPL-2019,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,37,0,HH Pandya,,Mumbai Indians
11315,IPL-2019,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,0,3,KA Pollard,,Mumbai Indians
11318,IPL-2019,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,4,JC Buttler,,Rajasthan Royals
11322,IPL-2019,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,SL Malinga,,Mumbai Indians
11342,IPL-2019,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,0,0,JJ Bumrah,,Mumbai Indians
11347,IPL-2019,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,HH Pandya,,Mumbai Indians
